material,type,atomic_number,atomic_mass,electronegativity,ionization_energy,second_ionization_energy,electron_affinity,atomic_radius,covalent_radius,ionic_radius,van_der_waals_radius,coordination_number,lattice_constant,valence_electrons,d_electrons,s_electrons,p_electrons,f_electrons,group,period,melting_point,boiling_point,density,heat_of_fusion,heat_of_vaporization,specific_heat,cohesive_energy,formation_energy,nitride_formation_energy,oxide_formation_energy,surface_energy,work_function,bulk_modulus,shear_modulus,youngs_modulus,poisson_ratio,thermal_conductivity,electrical_conductivity,magnetic_moment,d_band_center,d_band_width,d_band_filling,fermi_energy,band_gap,dG_N,predicted_dG_N,pred_error_lo,pred_error_hi,dist_from_optimal,pred_UL,faradaic_eff_pct,nh3_time_hrs,stability,confidence,quality
Mo-SAC/Mo2C,MXene,42,95.96,2.16,7.09,16.16,0.746,1.39,1.54,0.69,2.17,4,3.15,6.0,5.0,1.0,0,0,6.0,5.0,2896,4912,10.28,37.48,598,0.251,6.82,0.0,-0.62,-5.5,1.78,4.08,261,78,203,0.3,62.0,9.2,0.5,-0.98,2.92,0.66,-0.14,0.0,0.0,-0.2773255869183948,-0.3566149106407296,-0.19803626319606007,0.07267441308160516,-0.13723836850304336,27.65182327150018,0.43,⚠️  Delamination in prolonged electrolysis,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
FeMoN,nitride,34,88.5,2.0,7.5,16.2,0.45,1.33,1.43,0.74,2.11,6,3.05,6.0,5.5,1.5,0,0,7.0,4.5,2354,4500,9.27,25.6,469,0.35,5.55,0.0,-0.61,-4.86,1.75,4.45,215,100,258,0.28,86.0,11.5,0.8,-1.25,3.6,0.68,-0.22,0.0,0.0,-0.42666001163338413,-0.5059493353557188,-0.3473706879110494,0.07666001163338415,-0.1398290075616997,27.399004518638908,0.43,⚠️  May hydrolyse in acidic electrolyte,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
MoRuP,phosphide,43,113.5,2.18,7.23,16.5,0.9,1.37,1.5,0.76,2.15,6,3.01,7.0,6.0,1.0,0,0,7.0,5.0,2750,4668,10.57,38.0,609,0.24,6.78,0.0,-0.5,-4.82,1.88,4.5,291,138,355,0.29,90.0,12.5,0.3,-1.18,3.4,0.7,-0.28,0.0,0.0,-0.43259393729974926,-0.511883261022084,-0.3533046135774145,0.08259393729974929,-0.14368605924483704,27.002334657578466,0.44,⚠️  Phosphate leaching in alkaline media,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
CoMoP,phosphide,34,88.4,2.02,7.49,16.6,0.7,1.32,1.4,0.74,2.09,6,2.9,7.5,6.0,1.5,0,0,7.5,4.5,2300,4020,9.29,27.0,488,0.35,5.61,0.0,-0.55,-5.43,1.72,4.65,226,94,241,0.29,87.0,12.4,0.6,-1.1,3.2,0.7,-0.27,0.0,0.0,-0.43663917123048906,-0.5159284949528238,-0.35734984750815435,0.08663917123048909,-0.1463154612998179,26.718566785261753,0.44,⚠️  Phosphate leaching in alkaline media,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
FeRuP,phosphide,35,91.5,2.02,7.63,16.5,0.6,1.3,1.39,0.8,2.09,6,2.87,8.0,6.5,1.5,0,0,8.0,4.5,2200,3940,9.6,26.2,458,0.34,5.51,0.0,-0.17,-3.78,1.76,4.62,246,123,318,0.29,71.5,9.2,1.0,-1.22,3.45,0.68,-0.28,0.0,0.0,-0.44052770273216846,-0.5198170264545032,-0.3612383790098337,0.09052770273216848,-0.1488430067759095,26.436013898784516,0.45,⚠️  Phosphate leaching in alkaline media,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
Rh-SAC/BN,SAC_BN,45,102.91,2.28,7.46,18.08,1.137,1.34,1.42,0.81,2.1,4,3.8,9.0,8.0,1.0,0,0,9.0,5.0,2237,3968,12.41,26.59,494,0.243,5.75,0.0,-0.12,-4.3,1.85,4.85,269,95,240,0.25,68.0,11.0,0.0,-1.32,3.25,0.76,-0.38,0.0,0.0,-0.2566373480663846,-0.3359266717887194,-0.17734802434404986,0.09336265193361537,-0.15068572375685,26.224187830046258,0.45,✅ Stable (literature supported),"MEDIUM (centre in window, edge uncertain)",OPTIMAL
FeMoRu,alloy,34,84.0,2.13,7.45,16.5,0.62,1.33,1.44,0.77,2.12,9,2.87,6.7,6.1,1.4,0,0,7.3,4.7,2451,4412,10.87,33.9,555,0.31,6.22,0.0,-0.52,-4.72,2.78,4.54,246,134,345,0.29,108.3,14.0,0.7,-1.31,3.9,0.75,-0.28,0.0,0.0,-0.4577137978360171,-0.5370031215583518,-0.3784244741136824,0.10771379783601714,-0.16001396859341116,25.081991657840007,0.47,✅ Stable (literature supported),"MEDIUM (centre in window, edge uncertain)",OPTIMAL
RuMoC,carbide,43,109.5,2.18,7.23,16.5,0.9,1.37,1.5,0.76,2.15,6,2.97,7.0,6.0,1.0,0,0,7.0,5.0,2750,4668,10.37,38.0,609,0.24,6.78,0.0,-0.5,-4.82,1.9,4.52,291,143,368,0.29,90.0,12.5,0.3,-1.28,3.5,0.68,-0.27,0.0,0.0,-0.4641915461196847,-0.5434808698420195,-0.38490222239734995,0.11419154611968474,-0.16422450497779506,24.531728029236138,0.48,⚠️  Surface oxidation risk above 300 K,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
CoMoN,nitride,34,88.4,2.02,7.49,16.6,0.7,1.32,1.4,0.74,2.09,6,2.87,7.5,6.0,1.5,0,0,7.5,4.5,2300,4020,9.59,27.0,488,0.35,5.61,0.0,-0.66,-5.43,1.68,4.65,226,97,250,0.29,85.0,12.4,0.6,-1.18,3.55,0.7,-0.24,0.0,0.0,-0.46615676639469655,-0.5454460901170313,-0.38686744267236184,0.11615676639469658,-0.16550189815655278,24.36094947818415,0.48,⚠️  May hydrolyse in acidic electrolyte,"MEDIUM (centre in window, edge uncertain)",OPTIMAL
MoWRu,alloy,53,127.4,2.24,7.48,16.7,0.85,1.39,1.54,0.77,2.17,9,2.94,6.7,4.7,1.7,0,0,6.7,5.3,3084,5050,14.0,42.4,674,0.2,7.47,0.0,-0.6,-5.47,3.07,4.54,297,150,386,0.29,142.7,16.6,0.2,-1.4,4.12,0.74,-0.28,0.0,0.0,-0.4891474053458275,-0.5684367290681622,-0.4098580816234928,0.13914740534582754,-0.1804458134747879,22.251314354270892,0.53,✅ Stable (literature supported),"MEDIUM (centre in window, edge uncertain)",OPTIMAL
CoFeW,alloy,36,79.3,2.1,7.94,17.0,0.48,1.3,1.4,0.78,2.08,9,2.93,7.3,5.3,2.0,0,0,7.3,4.7,2430,4168,12.02,24.4,431,0.33,5.67,0.0,-0.43,-5.57,2.72,4.78,222,110,284,0.29,91.5,12.4,1.2,-1.39,4.12,0.73,-0.29,0.0,0.0,-0.5089693254067944,-0.5882586491291292,-0.42968000168445963,0.15896932540679443,-0.1933300615144164,20.311942447578737,0.58,✅ Stable (literature supported),MEDIUM (boundary case),Borderline
Ni-SAC/MoS2,SAC_MoS2,28,58.69,1.91,7.64,18.17,1.156,1.24,1.24,0.83,1.97,4,3.52,10.0,8.0,2.0,0,0,10.0,4.0,1728,3186,8.91,17.47,378,0.444,4.44,0.0,-0.03,-4.2,1.45,4.98,188,58,150,0.27,43.0,6.8,0.3,-1.05,2.85,0.8,-0.3,0.0,0.0,-0.15884276677208037,-0.2381320904944151,-0.07955344304974563,0.1911572332279196,-0.21425220159814773,17.069473717701637,0.69,✅ Stable (literature supported),MEDIUM (boundary case),Too Strong
W-SAC/Ti3C2,SAC_MXene,74,183.84,2.36,7.98,17.7,0.815,1.39,1.62,0.78,2.18,4,3.16,6.0,4.0,2.0,0,0,6.0,6.0,3695,5828,19.25,52.31,806,0.132,8.9,0.0,-0.48,-8.2,1.9,4.48,310,85,220,0.29,75.0,10.2,0.0,-1.55,3.85,0.7,-0.33,0.0,0.0,-0.5620842118079461,-0.6413735355302809,-0.48279488808561133,0.21208421180794612,-0.22785473767516498,14.98524439247419,0.79,✅ Stable (literature supported),MEDIUM (boundary case),Borderline
MnMoFe,alloy,31,62.3,1.85,7.47,16.0,0.3,1.3,1.42,0.77,2.09,8,2.97,6.5,5.3,1.7,0,0,7.0,4.3,2109,3823,8.53,24.6,388,0.39,4.67,0.0,-0.72,-5.31,2.23,4.36,178,77,197,0.28,75.4,9.8,0.8,-1.5,3.82,0.68,-0.31,0.0,0.0,-0.5963124821833689,-0.6756018059057036,-0.5170231584610341,0.24631248218336887,-0.2501031134191898,11.762710916242378,1.0,✅ Stable (literature supported),LOW  (outside window even with ±MAE),Borderline
V-SAC/Ti3C2,SAC_MXene,23,50.94,1.63,6.75,14.66,0.526,1.34,1.44,0.72,2.07,4,3.03,5.0,3.0,2.0,0,0,5.0,4.0,2183,3680,6.11,20.9,459,0.489,5.31,0.0,-0.95,-6.8,1.45,4.2,158,44,114,0.29,14.0,2.8,0.0,-0.75,2.6,0.55,-0.34,0.0,0.0,-0.6385606014685029,-0.7178499251908377,-0.5592712777461681,0.28856060146850293,-0.2775643909545269,8.299617318959534,1.42,✅ Stable (literature supported),LOW  (outside window even with ±MAE),Too Strong
MoNbN,nitride,42,109.9,1.88,6.93,15.2,0.83,1.43,1.59,0.74,2.18,6,3.73,5.5,4.0,1.5,0,0,5.5,5.0,3259,5015,8.2,33.0,648,0.26,7.2,0.0,-1.23,-7.54,1.72,4.03,266,84,216,0.29,35.5,4.7,0.0,-0.98,3.1,0.58,-0.3,0.0,0.0,-0.6553194685744557,-0.7346087922967904,-0.5760301448521209,0.3053194685744557,-0.2884576545733962,7.117933723579893,1.66,⚠️  May hydrolyse in acidic electrolyte,LOW  (outside window even with ±MAE),Too Strong
Mn-SAC/Ti3C2,SAC_MXene,25,54.94,1.55,7.43,15.64,0.0,1.24,1.39,0.81,2.05,4,2.91,7.0,5.0,2.0,0,0,7.0,4.0,1519,2334,7.43,12.91,226,0.479,2.92,0.0,-0.8,-6.6,1.4,4.0,120,22,196,0.24,7.5,0.7,0.0,-1.45,3.1,0.63,-0.38,0.0,0.0,-0.9470218978173296,-1.0263112215396644,-0.8677325740949948,0.5970218978173296,-0.47806423358126426,0.12253666321970715,96.32,✅ Stable (literature supported),LOW  (outside window even with ±MAE),Too Strong
